material_id,formula_pretty,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,is_gap_direct,density,volume,nsites,theoretical,deprecated,elements,num_elements,crystal_system,spacegroup_number,spacegroup_symbol,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-3244471,ErZrBRh6,-24.061490064444442,-0.857161947870369,0.0,0.0,False,11.207761221562345,131.3772481281474,9,True,False,"B,Er,Rh,Zr",4,Cubic,216,F-43m,5.706175096068316,5.706175094288121,5.706174120987425,59.99999438740695,59.999994397727065,59.99999625483098
mp-3247044,ErZrRh6C,-24.20674322,-0.713428326481476,0.0,0.0,False,11.314113408036945,130.31838399638508,9,True,False,"C,Er,Rh,Zr",4,Cubic,216,F-43m,5.690802512853895,5.690803427488124,5.690803215298926,60.00000688501783,60.00000156839526,59.999996573367945
mp-3343557,Eu2NbGaO6,-17.819397321,-2.914015527250001,0.0,0.2172,True,7.586016340356064,123.14006299843807,10,True,False,"Eu,Ga,Nb,O",4,Monoclinic,12,C2/m,5.580427665718061,5.574439519420013,5.574438996928708,120.02767665791329,119.43586913122961,90.43525262792284
mp-3296438,Eu2NbZnO6,-17.5261935965,-2.874029137249999,0.0,0.0,False,7.354974991096738,252.06855649065338,20,True,False,"Eu,Nb,O,Zn",4,Monoclinic,14,P2_1/c,5.564320198351637,5.730717482793417,9.691755799949513,90.0,125.34994259959538,90.0
mp-1213246,Eu2NiRuO6,-8.855839579499996,-2.323986671499997,0.079515236499998,0.0,False,7.852355191769229,236.71457431575544,20,True,False,"Eu,Ni,O,Ru",4,Monoclinic,14,P2_1/c,5.558941425445895,5.473389271973602,9.502226433368172,54.959835522228644,90.0,90.0
mp-3250326,HoPaBIr6,-48.789333105555556,-0.873795661944446,0.0,0.0,False,18.534286012198592,139.7719049174291,9,True,False,"B,Ho,Ir,Pa",4,Cubic,216,F-43m,5.825211035295608,5.825210664742599,5.825209864288016,59.999998969936854,60.00000107420317,60.00000183095465
mp-3250302,HoPaBRh6,-30.022660407777778,-0.9225395108333341,0.0,0.0,False,12.471197246689835,136.37351877645793,9,True,False,"B,Ho,Pa,Rh",4,Cubic,216,F-43m,5.777612088364923,5.777611879514827,5.7776111911493295,59.99999835897383,59.999999554745706,59.99999850739194
mp-3246262,HoSbPdO6,-14.999811952222224,-1.9572213786111121,0.0,2.085,False,7.2216129436961864,112.4652932473036,9,True,False,"Ho,O,Pd,Sb",4,Trigonal,149,P312,5.176702897073787,5.176722822979067,4.845728889958715,90.00220506487082,90.00234309389766,119.99528672390278
mp-3245375,HoThBRh6,-29.589824453333335,-0.8653431152777791,0.0,0.0,False,12.137631058979833,140.2584410959632,9,True,False,"B,Ho,Rh,Th",4,Cubic,216,F-43m,5.831962221620107,5.831962211698978,5.831961263731962,59.99999432616108,59.999994382435176,60.00000257889033
mp-3248836,HoThRh6S,-29.658956492222224,-0.8580659286458281,0.0030821665740670004,0.0,False,11.614091440992032,149.61982322337002,9,True,False,"Ho,Rh,S,Th",4,Cubic,216,F-43m,5.958963445081973,5.95896411472714,5.958853121038101,60.00061072709608,60.0006070098155,59.99877110098657
mp-3345367,HoTm(B3W)2,-22.125442862,-0.6438322470000001,0.0,0.0,False,11.287657734775973,112.74745016193937,10,True,False,"B,Ho,Tm,W",4,Monoclinic,6,Pm,5.4037572428560265,3.14519038403455,6.783931306312368,90.0,102.0754016669595,90.0
mp-3245394,HoTm2AuO6,-22.043774272,-3.089414016750001,0.0,2.2566,False,10.14742141119737,130.21962465133558,10,True,False,"Au,Ho,O,Tm",4,Triclinic,2,P-1,3.5195616585616656,5.481659682978456,6.92653363165267,90.00935146925026,102.91500008245494,91.26800299421221
mp-3249143,HoUBIr6,-49.02398770666667,-0.7655593247222261,0.0,0.0,False,18.782720142993124,138.54141689404506,9,True,False,"B,Ho,Ir,U",4,Cubic,216,F-43m,5.808065800637323,5.808065837921686,5.8080659170388245,59.999999549389784,59.99999933703736,60.00000950022566
mp-3247419,HoZrBIr6,-42.75743117333334,-0.8536966491666741,0.0,0.0,False,17.538459959819757,134.4707219774923,9,True,False,"B,Ho,Ir,Zr",4,Cubic,216,F-43m,5.750614483290792,5.75061417766711,5.750613937725231,60.00000138023753,60.000003138301715,60.00000684796507
mp-3247885,HoZrRh6C,-24.081309135555557,-0.7040043811111141,0.0,0.0,False,11.250931899323,130.70651611149506,9,True,False,"C,Ho,Rh,Zr",4,Cubic,216,F-43m,5.696446658604998,5.696447886669805,5.696446739945018,60.00000665912338,59.99999952765181,60.000003554160884
mp-3201506,InAg(CO3)2,-11.327472328,-1.36105834675,0.0,2.7193,True,4.846627663965741,117.4163603511567,10,True,False,"Ag,C,In,O",4,Trigonal,148,R-3,6.2687681120925625,6.268768441461015,6.268769280941957,46.27464773974477,46.27464349267551,46.27465347952896
mp-3200962,InBPd6Au,-24.624173845555553,-0.37165980249999503,0.0,0.0,False,11.812438821615922,135.10926692982963,9,True,False,"Au,B,In,Pd",4,Cubic,216,F-43m,5.759702597115629,5.759702292635884,5.759702295000548,59.99999998641902,60.0000017351393,59.99999940803919
mp-3203243,InHgBPt6,-43.468395835555555,-0.332945557777779,0.0,0.0,False,17.74978828824556,140.02234691580156,9,True,False,"B,Hg,In,Pt",4,Cubic,216,F-43m,5.82868771298129,5.82868741995812,5.828687440210656,60.000005420303715,60.00000708330688,59.999996667651445
mp-3202170,InPbIO6,-16.51473312222222,-1.041665325555552,0.0,2.3387000000000002,False,6.722828001149514,134.59500549587284,9,True,False,"I,In,O,Pb",4,Trigonal,149,P312,5.4274607814370395,5.427462599253265,5.276000570895786,90.0,90.0,120.00001242531371
mp-3203256,InSnRh6C,-22.728583186666665,-0.274207505555554,0.0,0.0,False,11.185468983780723,128.11248444728665,9,True,False,"C,In,Rh,Sn",4,Cubic,216,F-43m,5.658511023613458,5.658511551879935,5.658510248719043,59.99999626321705,59.99999317496335,60.0000018161572
mp-3210761,K2AuClF6,-10.595157973000001,-1.842148511,0.0,2.3489,False,3.840067723702668,367.22051712254216,20,True,False,"Au,Cl,F,K",4,Monoclinic,14,P2_1/c,6.730560188878848,6.112339617834276,9.237778924638516,90.00215709205733,104.92252945292348,90.01275055022924
mp-3204323,K2BaOsO6,-14.45996805,-1.724313628500002,0.0,1.306499999999999,False,4.918851313694548,338.7683113522503,20,True,False,"Ba,K,O,Os",4,Triclinic,2,P-1,6.207904486012148,6.106871288699383,8.939300180723665,89.90842203025571,88.43305120494539,89.84459583801191
mp-3202942,K2CaIO6,-9.504434465,-1.55756373975,0.0,0.0,False,3.912922311931822,144.78570013339112,10,True,False,"Ca,I,K,O",4,Cubic,225,Fm-3m,5.894046561842201,5.894046360348521,5.894047122391221,59.999995723113024,59.9999968539759,59.999993659697694
mp-3250316,K2CeIrO6,-15.115106348000001,-2.007935148999999,0.0,0.056799999999999004,True,5.83882264142553,144.05407803557097,10,True,False,"Ce,Ir,K,O",4,Cubic,225,Fm-3m,5.884101566960183,5.884102242675221,5.884101931068077,60.000001751818864,59.999997953027815,59.999999254261425
mp-3252704,K2DyIrO6,-15.104475728,-1.883187082500001,0.0,0.0,False,6.249248992576207,140.54100260460484,10,True,False,"Dy,Ir,K,O",4,Cubic,225,Fm-3m,5.83587572642325,5.835875601390971,5.835874967350654,59.99999808731559,59.99999879604124,60.000004847156525
mp-3244310,K2DyOsO6,-15.400771329,-2.1168951435,0.0,0.0,False,6.248515037027134,140.02946662169222,10,True,False,"Dy,K,O,Os",4,Cubic,225,Fm-3m,5.828687075862486,5.828128038755633,5.828685451465334,119.98953966325598,90.01927190251916,119.98958163933015
mp-3250432,K2DyTeO6,-12.63499506,-2.1079193285,0.0,0.0,False,5.405364456726586,142.63176370404562,10,True,False,"Dy,K,O,Te",4,Cubic,225,Fm-3m,5.8646723137492645,5.864672435318761,5.864672062429448,119.99999789671475,119.99999858242847,59.99999849956199
mp-3249935,K2ErIrO6,-15.311790507000001,-1.896138667333335,0.0,0.0,False,6.418861725488678,138.05846928475486,10,True,False,"Er,Ir,K,O",4,Cubic,225,Fm-3m,5.801309444540303,5.801309208880353,5.801308783096998,60.000002427865745,60.000003771625735,60.000001170656965
mp-3250127,K2GdOsO6,-16.493949183999998,-2.0685527909999992,0.0,0.0,False,6.023354698839996,143.81660071712707,10,True,False,"Gd,K,O,Os",4,Cubic,225,Fm-3m,5.880732067230902,5.8796386499485775,5.881303102489785,119.98377091635876,90.03914605872185,119.98318873495677
